date.time,date,site,plot,common.name,scientific.name,family,assessment.method,recapture,vocal,SamplingDay
2021-04-18T16:58:25Z,18/4/2021,Duval,DryA,Red Fox,Vulpes vulpes,Canidae,camera,NA,yes,1
2021-04-18T17:35:24Z,18/4/2021,Duval,DryA,Swamp Wallaby,Wallabia bicolor,Macropodidae,camera,NA,no,1
2021-04-18T17:35:24Z,18/4/2021,Duval,DryA,Swamp Wallaby,Wallabia bicolor,Macropodidae,camera,NA,no,1
2021-04-18T20:23:00Z,18/4/2021,Duval,DryB,Macropod,Macropus giganteus,Macropodidae,OBM,NA,yes,1
2021-04-18T20:23:00Z,18/4/2021,Duval,DryB,Macropod,Macropus giganteus,Macropodidae,OBM,NA,yes,1
2021-04-18T19:31:42Z,18/4/2021,Duval,DryB,Macropod,Macropus giganteus,Macropodidae,camera,NA,yes,1
2021-04-18T22:14:00Z,18/4/2021,Duval,WetA,Common Brushtail Possum,Trichosurus vulpecula,Phalangeridae,OBM,NA,yes,1
2021-04-18T22:14:00Z,18/4/2021,Duval,WetA,Common Brushtail Possum,Trichosurus vulpecula,Phalangeridae,OBM,NA,yes,1
2021-04-18T22:14:00Z,18/4/2021,Duval,WetA,Common Brushtail Possum,Trichosurus vulpecula,Phalangeridae,OBM,NA,yes,1
2021-04-18T17:59:08Z,18/4/2021,Duval,WetA,Swamp Wallaby,Wallabia bicolor,Macropodidae,camera,NA,no,1
2021-04-18T17:59:08Z,18/4/2021,Duval,WetA,Swamp Wallaby,Wallabia bicolor,Macropodidae,camera,NA,no,1
2021-04-18T20:16:26Z,18/4/2021,Duval,WetA,Red Fox,Vulpes vulpes,Canidae,camera,NA,yes,1
2021-04-18T19:11:00Z,18/4/2021,Duval,WetB,Macropod,Macropus giganteus,Macropodidae,OBM,NA,yes,1
2021-04-18T19:11:00Z,18/4/2021,Duval,WetB,Sugar Glider,Petaurus notatus,Petauridae,OBM,NA,yes,1
2021-04-18T18:13:56Z,18/4/2021,Duval,WetB,Macropod,Macropus giganteus,Macropodidae,camera,NA,yes,1
2021-04-18T17:46:52Z,18/4/2021,Duval,WetB,Macropod,Macropus giganteus,Macropodidae,camera,NA,yes,1
2021-04-18T17:46:52Z,18/4/2021,Duval,WetB,Macropod,Macropus giganteus,Macropodidae,camera,NA,yes,1
2021-04-18T17:46:52Z,18/4/2021,Duval,WetB,Macropod,Macropus giganteus,Macropodidae,camera,NA,yes,1
2021-04-19T18:55:00Z,19/4/2021,Duval,DryA,Common Brushtail Possum,Trichosurus vulpecula,Phalangeridae,OBM,NA,yes,2
2021-04-19T18:55:00Z,19/4/2021,Duval,DryA,Common Brushtail Possum,Trichosurus vulpecula,Phalangeridae,OBM,NA,yes,2
2021-04-19T18:48:00Z,19/4/2021,Duval,DryA,Macropod,Macropus giganteus,Macropodidae,OBM,NA,yes,2
2021-04-19T18:48:00Z,19/4/2021,Duval,DryA,Macropod,Macropus giganteus,Macropodidae,OBM,NA,yes,2
2021-04-19T05:42:32Z,19/4/2021,Duval,DryA,Red Fox,Vulpes vulpes,Canidae,camera,NA,yes,1
2021-04-19T19:56:00Z,19/4/2021,Duval,DryB,Common Brushtail Possum,Trichosurus vulpecula,Phalangeridae,OBM,NA,yes,2
